claim_amount,client_age,type_of_policy,car_brand,car_model,car_year,type_of_accident,user_type,total_activities,throughput_duration_days,First Notification of Loss (FNOL),Assign Claim,Claim Decision,Set Reserve,Payment Sent,Close Claim,State
1225,50,0,6,1,2018,1,0,6,31,1,2,3,4,5,6,0
3405,21,2,2,2,2022,0,0,6,33,1,2,3,4,5,6,0
9512,78,1,4,6,2011,1,1,6,33,1,2,3,4,5,6,0
3991,39,2,1,4,2019,2,0,6,23,1,2,3,4,5,6,0
3362,59,0,6,1,2019,2,1,6,26,1,2,3,4,5,6,0
3192,36,0,5,0,2020,0,1,6,42,1,2,3,4,5,6,0
8549,50,1,2,2,2016,2,1,6,35,1,2,3,4,5,6,0
9534,82,1,6,1,2012,3,0,6,34,1,2,3,4,5,6,0
7965,81,0,2,2,2022,3,0,6,39,1,2,3,4,5,6,0
9512,61,0,3,3,2016,3,0,6,46,1,2,3,4,5,6,0
5002,65,1,2,2,2010,2,0,6,39,1,2,3,4,5,6,0
4110,50,0,0,5,2011,0,0,6,38,1,2,3,4,5,6,0
1307,37,1,0,5,2013,0,0,6,24,1,2,3,4,5,6,0
4767,67,1,6,1,2017,0,0,6,32,1,2,3,4,5,6,0
4901,24,1,2,2,2020,2,0,6,41,1,2,3,4,5,6,0
7748,75,0,0,5,2020,1,0,6,30,1,2,3,4,5,6,0
7694,34,0,4,6,2015,1,0,6,37,1,2,3,4,5,6,0
2556,73,2,2,2,2012,0,0,6,39,1,2,3,4,5,6,0
3157,85,1,0,5,2011,1,0,6,24,1,2,3,4,5,6,0
1850,80,0,0,5,2013,0,1,6,28,1,2,3,4,5,6,0
5695,30,0,1,4,2022,2,0,6,35,1,2,3,4,5,6,0
5753,85,1,6,1,2010,2,0,6,38,1,2,3,4,5,6,0
4744,34,1,0,5,2021,2,0,6,33,1,2,3,4,5,6,0
1302,34,1,4,6,2014,1,1,6,32,1,2,3,4,5,6,0
5896,45,0,1,4,2014,3,1,6,35,1,2,3,4,5,6,0
3137,25,1,3,3,2014,2,1,6,37,1,2,3,4,5,6,0
2900,73,2,1,4,2020,1,0,6,31,1,2,3,4,5,6,0
5466,74,0,4,6,2018,0,0,6,27,1,2,3,4,5,6,0
9042,65,1,5,0,2014,1,1,6,31,1,2,3,4,5,6,0
3169,66,2,3,3,2021,3,1,6,34,1,2,3,4,5,6,0
6110,25,2,1,4,2010,1,1,6,30,1,2,3,4,5,6,0
2848,53,1,0,5,2019,0,0,6,34,1,2,3,4,5,6,0
5522,25,0,4,6,2018,1,0,6,41,1,2,3,4,5,6,0
5683,26,0,6,1,2015,1,1,6,40,1,2,3,4,5,6,0
5697,49,2,2,2,2018,3,1,6,42,1,2,3,4,5,6,0
5240,29,2,4,6,2011,1,1,6,33,1,2,3,4,5,6,0
2399,73,0,4,6,2021,3,0,6,32,1,2,3,4,5,6,0
4295,40,0,0,5,2017,1,0,6,39,1,2,3,4,5,6,0
1265,30,1,2,2,2013,3,1,6,33,1,2,3,4,5,6,0
7228,71,0,2,2,2016,3,1,6,36,1,2,3,4,5,6,0
3367,44,1,0,5,2011,0,0,6,28,1,2,3,4,5,6,0
7895,50,2,6,1,2016,1,0,6,36,1,2,3,4,5,6,0
6635,39,2,1,4,2019,2,0,6,37,1,2,3,4,5,6,0
8673,81,0,6,1,2016,0,0,6,41,1,2,3,4,5,6,0
9708,71,2,5,0,2010,3,0,6,40,1,2,3,4,5,6,0
4611,63,0,4,6,2017,2,0,6,31,1,2,3,4,5,6,0
3609,51,0,5,0,2019,2,1,6,29,1,2,3,4,5,6,0
6243,77,2,3,3,2018,0,0,6,30,1,2,3,4,5,6,0
3771,47,2,1,4,2020,1,1,6,40,1,2,3,4,5,6,0
4887,54,0,3,3,2010,2,0,6,37,1,2,3,4,5,6,0
5323,37,1,2,2,2014,1,0,6,39,1,2,3,4,5,6,0
1478,21,0,3,3,2017,2,0,6,38,1,2,3,4,5,6,0
4552,62,2,2,2,2019,1,0,6,32,1,2,3,4,5,6,0
8051,24,0,2,2,2010,3,0,6,30,1,2,3,4,5,6,0
9626,48,2,6,1,2017,0,0,6,33,1,2,3,4,5,6,0
2526,29,1,4,6,2017,2,0,6,30,1,2,3,4,5,6,0
4837,51,2,5,0,2020,3,0,6,34,1,2,3,4,5,6,0
7752,56,0,4,6,2015,0,0,6,35,1,2,3,4,5,6,0
9987,55,2,6,1,2014,0,0,6,44,1,2,3,4,5,6,0
4333,73,2,5,0,2022,1,0,6,40,1,2,3,4,5,6,0
9994,40,1,6,1,2019,3,0,6,29,1,2,3,4,5,6,0
2675,61,1,3,3,2011,3,0,6,37,1,2,3,4,5,6,0
2261,25,1,6,1,2022,0,0,6,29,1,2,3,4,5,6,0
6944,49,0,6,1,2015,1,1,6,38,1,2,3,4,5,6,0
8691,82,1,1,4,2021,1,1,6,31,1,2,3,4,5,6,0
3237,36,0,3,3,2019,1,0,6,31,1,2,3,4,5,6,0
4893,64,1,6,1,2015,2,1,6,41,1,2,3,4,5,6,0
6197,30,1,3,3,2014,1,0,6,29,1,2,3,4,5,6,0
7416,65,2,1,4,2011,3,1,6,26,1,2,3,4,5,6,0
4633,44,1,5,0,2020,3,0,6,36,1,2,3,4,5,6,0
3118,64,1,6,1,2017,0,0,6,39,1,2,3,4,5,6,0
3097,52,2,5,0,2012,2,0,6,30,1,2,3,4,5,6,0
6462,79,2,2,2,2021,2,0,6,39,1,2,3,4,5,6,0
2807,63,2,4,6,2011,3,0,6,39,1,2,3,4,5,6,0
9453,52,1,2,2,2013,0,0,6,43,1,2,3,4,5,6,0
5830,25,0,5,0,2022,2,0,6,36,1,2,3,4,5,6,0
3329,65,0,4,6,2022,1,0,6,25,1,2,3,4,5,6,0
2698,49,0,1,4,2013,0,1,6,36,1,2,3,4,5,6,0
9635,77,0,4,6,2011,3,1,6,39,1,2,3,4,5,6,0
3385,36,1,4,6,2019,2,0,6,38,1,2,3,4,5,6,0
9904,57,1,2,2,2022,0,0,6,35,1,2,3,4,5,6,0
4550,21,1,0,5,2014,1,0,6,33,1,2,3,4,5,6,0
5297,82,2,0,5,2022,0,0,6,40,1,2,3,4,5,6,0
2689,82,2,3,3,2020,1,0,6,37,1,2,3,4,5,6,0
3332,37,1,5,0,2019,0,1,6,36,1,2,3,4,5,6,0
4584,73,1,3,3,2015,2,0,6,29,1,2,3,4,5,6,0
2314,32,0,3,3,2012,1,0,6,33,1,2,3,4,5,6,0
5143,24,1,5,0,2011,3,0,6,36,1,2,3,4,5,6,0
6196,42,1,5,0,2016,1,0,6,35,1,2,3,4,5,6,0
6199,36,0,2,2,2018,1,1,6,40,1,2,3,4,5,6,0
3202,18,2,4,6,2015,3,1,6,31,1,2,3,4,5,6,0
1956,18,2,1,4,2015,1,1,6,34,1,2,3,4,5,6,0
1742,63,2,0,5,2010,3,0,6,38,1,2,3,4,5,6,0
7694,42,2,3,3,2013,3,0,6,39,1,2,3,4,5,6,0
5901,24,2,3,3,2020,0,0,6,34,1,2,3,4,5,6,0
1565,49,0,2,2,2012,1,0,6,32,1,2,3,4,5,6,0
8155,62,1,2,2,2011,2,0,6,36,1,2,3,4,5,6,0
7866,26,1,3,3,2014,1,1,6,39,1,2,3,4,5,6,0
6068,39,2,6,1,2022,0,0,6,37,1,2,3,4,5,6,0
1534,72,0,0,5,2016,3,1,6,27,1,2,3,4,5,6,0
3298,34,2,5,0,2011,0,1,6,37,1,2,3,4,5,6,0
4348,47,1,1,4,2022,0,1,6,34,1,2,3,4,5,6,0
7322,46,1,2,2,2022,3,0,6,32,1,2,3,4,5,6,0
6429,21,2,6,1,2017,2,1,6,34,1,2,3,4,5,6,0
8480,31,1,6,1,2019,1,0,6,40,1,2,3,4,5,6,0
5801,64,2,1,4,2018,0,1,6,31,1,2,3,4,5,6,0
4982,47,0,5,0,2014,3,1,6,36,1,2,3,4,5,6,0
1631,69,2,0,5,2021,3,0,6,26,1,2,3,4,5,6,0
3442,67,1,0,5,2013,0,1,6,31,1,2,3,4,5,6,0
1068,26,1,5,0,2022,2,1,6,27,1,2,3,4,5,6,0
3929,83,0,1,4,2021,3,0,6,44,1,2,3,4,5,6,0
1217,20,2,0,5,2019,0,1,6,46,1,2,3,4,5,6,0
3742,70,0,6,1,2016,2,0,6,35,1,2,3,4,5,6,0
5240,70,1,3,3,2017,3,0,6,45,1,2,3,4,5,6,0
8477,51,0,4,6,2018,1,1,6,37,1,2,3,4,5,6,0
2122,84,1,1,4,2020,0,0,6,44,1,2,3,4,5,6,0
3674,58,1,4,6,2012,0,1,6,39,1,2,3,4,5,6,0
1469,29,1,2,2,2019,3,1,6,36,1,2,3,4,5,6,0
2560,54,1,5,0,2012,2,1,6,35,1,2,3,4,5,6,0
8463,77,2,0,5,2018,3,1,6,32,1,2,3,4,5,6,0
3042,69,0,2,2,2020,3,0,6,30,1,2,3,4,5,6,0
1643,40,1,6,1,2017,0,0,6,42,1,2,3,4,5,6,0
7029,55,1,3,3,2011,0,0,6,37,1,2,3,4,5,6,0
9877,54,2,3,3,2012,1,1,6,30,1,2,3,4,5,6,0
4156,82,2,6,1,2018,3,0,6,33,1,2,3,4,5,6,0
7569,47,1,1,4,2018,2,0,6,36,1,2,3,4,5,6,0
9665,19,2,0,5,2013,2,0,6,32,1,2,3,4,5,6,0
4835,79,0,4,6,2015,0,0,6,28,1,2,3,4,5,6,0
2224,57,0,0,5,2020,2,1,6,37,1,2,3,4,5,6,0
3218,37,2,3,3,2019,3,0,6,34,1,2,3,4,5,6,0
9015,31,2,2,2,2014,0,0,6,39,1,2,3,4,5,6,0
4880,73,0,6,1,2013,1,1,6,29,1,2,3,4,5,6,0
2357,19,1,4,6,2019,3,0,6,38,1,2,3,4,5,6,0
8958,21,1,1,4,2013,2,0,6,24,1,2,3,4,5,6,0
3101,35,1,4,6,2013,1,0,6,34,1,2,3,4,5,6,0
2718,82,0,1,4,2010,3,0,6,42,1,2,3,4,5,6,0
1459,45,1,1,4,2019,2,1,6,37,1,2,3,4,5,6,0
2147,66,1,5,0,2018,1,1,6,36,1,2,3,4,5,6,0
4090,52,1,6,1,2010,2,0,6,33,1,2,3,4,5,6,0
2332,70,2,0,5,2015,3,0,6,36,1,2,3,4,5,6,0
9496,46,0,3,3,2010,1,1,6,40,1,2,3,4,5,6,0
8413,66,0,1,4,2015,1,0,6,32,1,2,3,4,5,6,0
8622,59,0,3,3,2016,0,0,6,38,1,2,3,4,5,6,0
6683,64,0,1,4,2016,1,1,6,33,1,2,3,4,5,6,0
1229,34,2,5,0,2016,3,0,6,35,1,2,3,4,5,6,0
2683,73,0,3,3,2013,2,0,6,30,1,2,3,4,5,6,0
6819,71,2,0,5,2022,1,0,6,35,1,2,3,4,5,6,0
3754,62,1,6,1,2017,2,1,6,39,1,2,3,4,5,6,0
8934,57,2,6,1,2010,3,0,6,31,1,2,3,4,5,6,0
7549,52,1,4,6,2021,1,0,6,40,1,2,3,4,5,6,0
1283,76,1,4,6,2015,3,0,6,30,1,2,3,4,5,6,0
1767,48,1,2,2,2017,0,0,6,33,1,2,3,4,5,6,0
8568,67,2,0,5,2016,3,0,6,36,1,2,3,4,5,6,0
3311,70,2,3,3,2015,3,1,6,37,1,2,3,4,5,6,0
7182,23,1,6,1,2014,2,0,6,34,1,2,3,4,5,6,0
6514,41,2,6,1,2021,0,0,6,32,1,2,3,4,5,6,0
7083,38,0,1,4,2017,2,0,6,33,1,2,3,4,5,6,0
3967,34,1,0,5,2015,2,0,6,33,1,2,3,4,5,6,0
1215,79,1,0,5,2014,1,1,6,40,1,2,3,4,5,6,0
8247,75,1,3,3,2020,3,0,6,44,1,2,3,4,5,6,0
2263,74,0,1,4,2014,2,1,6,33,1,2,3,4,5,6,0
4336,68,1,1,4,2020,3,0,6,36,1,2,3,4,5,6,0
3300,78,0,2,2,2016,3,0,6,28,1,2,3,4,5,6,0
5413,31,1,5,0,2018,0,0,6,37,1,2,3,4,5,6,0
8513,82,2,1,4,2014,1,0,6,37,1,2,3,4,5,6,0
3254,73,0,6,1,2011,2,0,6,33,1,2,3,4,5,6,0
3861,66,2,6,1,2012,0,0,6,29,1,2,3,4,5,6,0
1603,77,0,0,5,2018,0,0,6,34,1,2,3,4,5,6,0
4920,35,0,1,4,2015,2,1,6,37,1,2,3,4,5,6,0
3638,29,1,1,4,2014,3,0,6,36,1,2,3,4,5,6,0
3254,41,1,4,6,2018,3,1,6,38,1,2,3,4,5,6,0
6336,72,0,0,5,2022,1,1,6,38,1,2,3,4,5,6,0
5250,25,0,4,6,2021,1,0,6,34,1,2,3,4,5,6,0
1266,31,1,5,0,2020,2,0,6,33,1,2,3,4,5,6,0
9452,68,2,5,0,2021,2,0,6,28,1,2,3,4,5,6,0
4886,81,2,4,6,2016,3,0,6,28,1,2,3,4,5,6,0
3102,31,2,1,4,2013,1,0,6,41,1,2,3,4,5,6,0
7101,46,0,2,2,2011,2,0,6,36,1,2,3,4,5,6,0
4476,80,2,5,0,2014,2,0,6,31,1,2,3,4,5,6,0
2362,56,2,0,5,2022,1,1,6,34,1,2,3,4,5,6,0
7974,42,1,6,1,2010,3,1,6,39,1,2,3,4,5,6,0
4430,33,0,5,0,2014,3,0,6,31,1,2,3,4,5,6,0
6146,78,1,3,3,2022,0,0,6,35,1,2,3,4,5,6,0
6782,70,0,4,6,2017,0,1,6,36,1,2,3,4,5,6,0
2628,79,2,0,5,2016,2,1,6,32,1,2,3,4,5,6,0
5571,21,0,1,4,2020,2,0,6,31,1,2,3,4,5,6,0
1416,56,2,2,2,2020,1,0,6,35,1,2,3,4,5,6,0
7763,71,0,2,2,2020,3,0,6,30,1,2,3,4,5,6,0
3546,72,1,4,6,2014,3,1,6,36,1,2,3,4,5,6,0
4424,27,0,0,5,2018,2,0,6,36,1,2,3,4,5,6,0
9828,41,2,2,2,2017,1,0,6,34,1,2,3,4,5,6,0
2767,22,2,1,4,2019,3,1,6,39,1,2,3,4,5,6,0
7177,71,1,6,1,2012,0,1,6,33,1,2,3,4,5,6,0
8005,74,2,5,0,2010,3,0,6,29,1,2,3,4,5,6,0
7567,47,0,6,1,2022,2,1,6,35,1,2,3,4,5,6,0
1711,33,0,6,1,2020,3,1,6,42,1,2,3,4,5,6,0
1177,32,0,5,0,2018,3,1,6,34,1,2,3,4,5,6,0
7225,44,1,0,5,2022,1,1,6,39,1,2,3,4,5,6,0
9269,84,2,5,0,2013,1,0,6,35,1,2,3,4,5,6,0
9356,57,0,3,3,2020,0,0,6,40,1,2,3,4,5,6,0
4827,45,0,5,0,2019,3,0,6,42,1,2,3,4,5,6,0
3070,52,1,2,2,2018,1,0,6,33,1,2,3,4,5,6,0
3210,71,0,1,4,2013,2,0,6,37,1,2,3,4,5,6,0
9208,65,2,3,3,2018,3,0,6,34,1,2,3,4,5,6,0
4175,61,2,6,1,2017,3,1,6,31,1,2,3,4,5,6,0
3216,38,1,0,5,2018,2,0,6,39,1,2,3,4,5,6,0
8014,74,2,5,0,2011,1,0,6,38,1,2,3,4,5,6,0
6644,24,1,0,5,2014,1,1,6,29,1,2,3,4,5,6,0
8518,67,0,5,0,2015,1,1,6,35,1,2,3,4,5,6,0
4306,29,1,5,0,2013,2,1,6,37,1,2,3,4,5,6,0
9001,60,1,0,5,2019,1,0,6,27,1,2,3,4,5,6,0
1199,61,2,4,6,2020,3,0,6,40,1,2,3,4,5,6,0
3602,32,1,5,0,2021,1,0,6,32,1,2,3,4,5,6,0
1453,58,1,0,5,2012,2,0,6,23,1,2,3,4,5,6,0
6796,56,1,2,2,2022,3,1,6,31,1,2,3,4,5,6,0
3328,84,2,3,3,2019,2,0,6,36,1,2,3,4,5,6,0
1986,64,0,1,4,2019,3,0,6,27,1,2,3,4,5,6,0
1578,55,0,1,4,2010,3,1,6,35,1,2,3,4,5,6,0
4680,77,1,6,1,2020,1,1,6,28,1,2,3,4,5,6,0
1136,70,0,4,6,2013,2,1,6,37,1,2,3,4,5,6,0
2318,63,0,4,6,2017,0,0,6,25,1,2,3,4,5,6,0
3910,52,1,4,6,2021,1,0,6,38,1,2,3,4,5,6,0
3739,42,2,1,4,2022,0,0,6,29,1,2,3,4,5,6,0
4236,19,2,4,6,2020,1,0,6,40,1,2,3,4,5,6,0
8233,70,0,6,1,2018,3,1,6,32,1,2,3,4,5,6,0
9105,84,1,6,1,2016,3,0,6,28,1,2,3,4,5,6,0
4012,28,0,5,0,2019,3,0,6,34,1,2,3,4,5,6,0
6434,20,2,1,4,2014,3,1,6,33,1,2,3,4,5,6,0
6671,46,2,6,1,2010,3,0,6,41,1,2,3,4,5,6,0
5809,54,2,1,4,2015,1,0,6,37,1,2,3,4,5,6,0
3576,38,0,0,5,2010,3,0,6,32,1,2,3,4,5,6,0
7367,69,2,5,0,2010,0,0,6,42,1,2,3,4,5,6,0
5289,68,1,5,0,2018,1,1,6,27,1,2,3,4,5,6,0
6146,58,1,0,5,2022,1,0,6,37,1,2,3,4,5,6,0
3423,81,0,3,3,2018,3,0,6,31,1,2,3,4,5,6,0
5952,55,0,4,6,2016,3,0,6,36,1,2,3,4,5,6,0
4135,83,0,1,4,2017,2,0,6,38,1,2,3,4,5,6,0
3429,22,1,4,6,2013,2,1,6,38,1,2,3,4,5,6,0
6428,19,1,3,3,2019,2,1,6,38,1,2,3,4,5,6,0
6582,76,1,6,1,2016,0,1,6,34,1,2,3,4,5,6,0
9896,21,2,6,1,2011,0,1,6,41,1,2,3,4,5,6,0
1506,69,1,2,2,2022,3,0,6,35,1,2,3,4,5,6,0
4623,28,1,5,0,2014,1,0,6,31,1,2,3,4,5,6,0
3515,84,0,4,6,2016,2,0,6,30,1,2,3,4,5,6,0
6687,20,0,6,1,2013,3,1,6,44,1,2,3,4,5,6,0
2397,29,0,5,0,2015,3,0,6,29,1,2,3,4,5,6,0
7513,51,2,1,4,2017,1,0,6,38,1,2,3,4,5,6,0
2940,73,1,4,6,2019,3,0,6,33,1,2,3,4,5,6,0
4579,38,2,5,0,2012,3,0,6,32,1,2,3,4,5,6,0
1567,27,1,6,1,2017,1,0,6,26,1,2,3,4,5,6,0
9898,53,0,3,3,2013,0,0,6,40,1,2,3,4,5,6,0
8603,45,1,4,6,2019,0,0,6,33,1,2,3,4,5,6,0
2667,45,0,5,0,2020,0,0,6,30,1,2,3,4,5,6,0
9487,19,2,4,6,2016,1,0,6,30,1,2,3,4,5,6,0
6378,38,2,6,1,2012,2,0,6,39,1,2,3,4,5,6,0
5814,84,2,6,1,2021,2,0,6,37,1,2,3,4,5,6,0
8649,47,1,2,2,2015,0,0,6,34,1,2,3,4,5,6,0
8006,23,1,2,2,2017,0,1,6,38,1,2,3,4,5,6,0
3103,63,1,4,6,2020,0,0,6,32,1,2,3,4,5,6,0
1299,81,1,5,0,2013,3,0,6,25,1,2,3,4,5,6,0
1012,69,0,5,0,2022,2,0,6,39,1,2,3,4,5,6,0
8131,55,1,5,0,2020,2,1,6,29,1,2,3,4,5,6,0
7237,21,0,6,1,2010,0,1,6,43,1,2,3,4,5,6,0
6948,66,0,3,3,2021,3,0,6,33,1,2,3,4,5,6,0
9133,65,0,3,3,2017,0,0,6,35,1,2,3,4,5,6,0
9239,36,0,3,3,2014,1,0,6,30,1,2,3,4,5,6,0
7515,43,2,4,6,2017,1,0,6,35,1,2,3,4,5,6,0
1422,74,0,1,4,2011,1,0,6,30,1,2,3,4,5,6,0
1062,48,0,3,3,2020,3,0,6,26,1,2,3,4,5,6,0
8893,29,0,2,2,2014,2,0,6,35,1,2,3,4,5,6,0
1829,35,2,6,1,2021,1,0,6,34,1,2,3,4,5,6,0
2397,42,0,2,2,2014,3,0,6,32,1,2,3,4,5,6,0
6867,29,2,3,3,2015,3,0,6,33,1,2,3,4,5,6,0
3558,71,1,0,5,2010,0,0,6,28,1,2,3,4,5,6,0
2138,75,2,0,5,2019,2,0,6,38,1,2,3,4,5,6,0
8592,54,2,1,4,2022,2,1,6,42,1,2,3,4,5,6,0
3893,72,2,3,3,2021,1,1,6,35,1,2,3,4,5,6,0
9993,84,0,2,2,2013,1,0,6,39,1,2,3,4,5,6,0
8416,72,0,0,5,2019,1,0,6,30,1,2,3,4,5,6,0
9915,35,2,3,3,2019,0,0,6,32,1,2,3,4,5,6,0
